队名,Elo
0,1657.281850944619
1,1732.1332943180216
2,1648.4440671010118
3,1488.434638413237
4,1601.2452095857445
5,1681.4687942813964
6,1579.472027303396
7,1588.8111224116312
8,1705.952077256046
9,1646.2284663942014
10,1679.9584807316894
11,1695.542347704899
12,1475.302842482544
13,1711.2450525086736
14,1525.5006746877789
15,1673.7125848338944
16,1679.3626014406204
17,1519.3143386889176
18,1576.2586858023158
19,1650.7310637808062
20,1599.280592288654
21,1622.0328502884774
22,1521.9457317187505
23,1570.5189005374334
24,1670.1789116614254
25,1644.4498187570075
26,1641.5845445488044
27,1543.6146342260467
28,1581.902209091686
29,1459.93949753494
30,1587.807919956504
31,1566.0014671620786
32,1681.554235492483
33,1723.428254004721
34,1643.245419571209
35,1725.2754177225254
36,1537.4245713452422
37,1587.6457826038309
38,1689.4768521966205
39,1533.8383200999722
40,1577.598531954447
41,1587.9108076790826
42,1629.8886774100756
43,1618.1990944554818
44,1646.3145317186488
45,1574.7769413632002
46,1603.6672839545652
47,1673.1692295018443
48,1547.771133487073
49,1605.9542945534267
50,1612.9303675390368
51,1640.142676791683
52,1589.6606961345867
53,1616.3446327740908
54,1538.1768358228044
55,1558.1140193625429
56,1608.888981261481
57,1694.0375852850932
58,1700.1079460697933
59,1517.4226171064877
60,1668.1706537340497
61,1566.2908314331514
62,1535.7969804701727
63,1518.2791306944623
64,1551.6904472170527
65,1531.4468126342842
66,1638.54131381677
67,1664.1477663438052
68,1657.9479087530501
69,1479.74616504941
70,1533.923424532045
71,1589.1704005435747
72,1590.5106657962565
73,1573.9643193160373
74,1647.878491496795
75,1600
76,1600
77,1600
78,1600
79,1600
80,1600
81,1600
82,1572.2110255066607
83,1500.021836392115
84,1639.6125715206238
85,1617.2683353588038
86,1575.1699965417165
87,1525.4044379874706
88,1609.0254967395051
89,1557.87414555811
90,1475.8392428416316
91,1498.6521543272972
92,1599.3914049629864
93,1611.0728004204348
94,1577.0528283595802
95,1642.0851301055518
96,1679.2130767161466
97,1576.6042350813343
98,1576.5386839194462
99,1556.468817803488
100,1604.3991313442657
101,1536.3695802078028
102,1681.91635717922
103,1589.248172146671
104,1690.7274145151334
105,1591.2747861135272
106,1651.737488935986
107,1568.0442298294822
108,1536.629433317629
109,1635.0243842697475
110,1517.7499784921722
111,1474.589728639406
112,1599.304697512806
113,1507.4199719371074
114,1659.9535741632976
115,1607.1514021663215
116,1542.4633358753356
117,1606.8459074661805
118,1562.72119003321
119,1520.1692906821163
120,1565.7072301846295
121,1549.8574375883259
122,1608.7430411477055
123,1586.3783448483116
124,1661.8288649768929
125,1663.6309298146825
126,1566.597964282788
127,1615.5399532384465
128,1606.687318490274
129,1637.7538427917532
130,1596.1635719890082
131,1555.310937056152
132,1629.6591250039544
133,1680.5794851781288
134,1645.121999061128
135,1485.8460343238062
136,1573.5987161038322
137,1556.2845703664582
138,1622.7141097503566
139,1583.5807999231747
140,1599.3278988909617
141,1578.9601324324774
142,1599.8591072788538
143,1585.8149391395505
144,1584.8539659501662
145,1574.6577532380923
146,1612.311869308125
147,1544.6908984676559
148,1608.44826975824
149,1525.1078238121029
150,1526.405084266065
151,1562.4653159698228
152,1515.7860587480354
153,1721.0947023557103
154,1528.008397954966
155,1595.7040248924304
156,1524.8279345879503
157,1595.75256089058
158,1510.9899121488131
159,1640.0685814366864
160,1760.2842463083084
161,1704.6626593696183
162,1698.1601709189345
163,1587.8996617146645
164,1641.9619578571364
165,1472.7982696685663
166,1615.3359631874046
167,1638.3864658350615
168,1599.752000803169
169,1585.4540395827128
170,1543.710414642926
171,1598.2919854144382
172,1733.1741847925048
173,1553.0217639455766
174,1596.2303220222075
175,1670.786632992051
176,1493.7504126487477
177,1672.1476425071864
178,1656.7865390133177
179,1545.634820086022
180,1673.9791880474925
181,1768.4415340145383
182,1607.5184189041802
183,1637.9454605552069
184,1616.0345435026338
185,1598.6609567747232
186,1615.6299237253913
187,1510.3910954254243
188,1616.2084322210997
189,1584.3633032364921
190,1660.7554650873792
191,1666.196659151961
192,1547.9001586292884
193,1561.7919967150447
194,1686.85244998861
195,1577.926131315492
196,1547.939108846211
197,1595.8443862206996
198,1621.327604693567
199,1696.7103399411667
200,1556.1074694547267
201,1678.198883423845
202,1548.7195026648826
203,1585.6491653941757
204,1658.9821333777666
205,1486.639372449604
206,1592.653956959663
207,1596.3080758145459
